City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
9,Polewali,ID,85.75,scattered clouds,-3.4324,119.3435,Lilianto Hotel
10,Vaini,TO,78.96,scattered clouds,-21.2,-175.2,Keleti Beach Resort
13,Bambous Virieux,MU,75.22,broken clouds,-20.3428,57.7575,Casa Tia Villa
14,Georgetown,MY,80.89,few clouds,5.4112,100.3354,Cititel Penang
18,Lethem,GY,77.85,heavy intensity rain,3.3803,-59.7968,Savannah Inn
30,Atuona,PF,76.26,light rain,-9.8,-139.0333,Villa Enata
33,Road Town,VG,82.49,overcast clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
35,Puerto Escondido,MX,76.17,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
42,Hithadhoo,MV,82.02,scattered clouds,-0.6,73.0833,Scoop Guest House
43,Airai,TL,81.54,scattered clouds,-8.9266,125.4092,
54,Cap Malheureux,MU,75.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
66,Hirara,JP,86.27,scattered clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
71,Cabedelo,BR,77.67,few clouds,-6.9811,-34.8339,Pousada Camboinha
73,Nabire,ID,85.69,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
78,Tura,IN,82.78,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
81,Sao Filipe,CV,77.72,broken clouds,14.8961,-24.4956,Hotel Xaguate
85,Mahebourg,MU,75.25,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
88,Hilo,US,78.53,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
91,Kalamnuri,IN,76.12,overcast clouds,19.6667,77.3333,खंडोबा राव शेषराव गडदे
92,Basco,PH,80.47,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
94,Avarua,CK,75.25,broken clouds,-21.2078,-159.775,Paradise Inn
96,Adrar,MR,87.82,overcast clouds,20.5022,-10.0711,
98,Pedernales,DO,80.4,overcast clouds,18.0384,-71.744,Hotel Costa Marina
99,Labuhan,ID,88.56,broken clouds,-6.8844,112.2051,DoubleFAG
101,Luganville,VU,81.18,broken clouds,-15.5333,167.1667,The Espiritu Hotel
103,Butaritari,KI,82.17,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
106,Manacapuru,BR,81.81,broken clouds,-3.2997,-60.6206,Novo Hotel
107,Poum,NC,75.99,scattered clouds,-20.2333,164.0167,
113,Ponta Delgada,PT,77.5,few clouds,37.7333,-25.6667,Vila Nova Hotel
116,Kahului,US,82.42,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
118,Kapaa,US,84.18,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
119,Dingle,PH,86.04,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
121,Vila Franca Do Campo,PT,77.2,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
124,Kijang,KR,76.73,few clouds,35.2442,129.2139,Samyang Beach Villa
130,Gorontalo,ID,75.56,light rain,0.5412,123.0595,Maqna Hotel by Prasanthi
134,Faanui,PF,78.84,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
135,Tipolo,PH,85.82,broken clouds,10.0196,124.5144,Globe Tower
136,Lorengau,PG,84.69,scattered clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
138,Carutapera,BR,77.43,few clouds,-1.195,-46.02,Lidera
139,Ishigaki,JP,82.53,scattered clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
142,Buala,SB,80.38,light rain,-8.145,159.5921,Maringe Lagoon Lodge
149,Karratha,AU,87.21,clear sky,-20.7377,116.8463,ibis Styles Karratha
150,Alofi,NU,78.69,broken clouds,-19.0595,-169.9187,Taloa Heights
153,Chaman,PK,79.39,clear sky,30.9236,66.4512,Niamat parda Center chaman
155,Kidal,ML,84.58,broken clouds,18.4411,1.4078,
166,Padang,ID,80.65,broken clouds,-0.9492,100.3543,Mercure Padang
167,Alice Springs,AU,83.75,clear sky,-23.7,133.8833,Desert Palms Alice Springs
170,Ambulu,ID,86.38,scattered clouds,-8.345,113.6058,Hotel Ambulu Jember
172,Rabo De Peixe,PT,76.28,few clouds,37.8,-25.5833,Quinta das Giestas
176,Gushikawa,JP,87.39,clear sky,26.3544,127.8686,Kirari Guest House
177,Pitimbu,BR,77.59,few clouds,-7.4706,-34.8086,Reserva do Abiaí
178,Bengkulu,ID,80.4,broken clouds,-3.8004,102.2655,Grage Hotel Bengkulu
182,Coahuayana,MX,75.67,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
186,Hobyo,SO,78.03,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
192,Manokwari,ID,84.25,scattered clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
198,Kloulklubed,PW,82.9,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
200,Hamilton,US,76.71,broken clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
201,Vung Tau,VN,83.43,overcast clouds,10.346,107.0843,Seaside Resort
203,Praxedis Guerrero,MX,82.65,clear sky,31.3667,-106.0167,Congregación placitas de Otero
205,Calamar,CO,75.79,overcast clouds,10.2511,-74.9146,Hostal Katyalex
206,Thanyaburi,TH,88.95,few clouds,14.0211,100.7343,Hotel RIDE 'n Lazy @ Thai Wake Park
207,Shihezi,CN,81.14,broken clouds,44.3,86.0333,Home Inn Shihezi Dongwu Road Century Square
209,Kavaratti,IN,80.96,clear sky,10.5669,72.642,Green leaf
211,Kavieng,PG,83.71,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
212,Tessalit,ML,85.3,broken clouds,20.1986,1.0114,
214,Balabac,PH,85.75,overcast clouds,7.9868,117.0645,Batalla’s Lodging House
217,Payo,ID,89.42,scattered clouds,-3.7508,103.6372,Mess keban agung
218,Ravar,IR,81.91,clear sky,31.2656,56.8055,computertik
219,El Vigia,VE,76.01,overcast clouds,8.6219,-71.6506,Liceo Bolivariano 19 De Abril
220,Mineiros,BR,77.04,broken clouds,-17.5694,-52.5511,Pilões Palace Hotel
223,Grand Gaube,MU,75.38,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
226,Touros,BR,76.26,clear sky,-5.1989,-35.4608,INN NEW HORIZON
227,Poya,NC,77.95,few clouds,-21.35,165.15,
