City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Upernavik,GL,2022-09-21 17:12:49,72.7868,-56.1549,34.02,70,81,8.14
1,Avarua,CK,2022-09-21 17:12:50,-21.2078,-159.775,73.45,78,75,11.5
2,Abrau-Dyurso,RU,2022-09-21 17:12:50,44.69,37.59,53.06,63,95,10.4
3,Port Hardy,CA,2022-09-21 17:12:51,50.6996,-127.4199,53.78,76,20,2.3
4,Kaitangata,NZ,2022-09-21 17:09:41,-46.2817,169.8464,40.84,94,22,3.62
5,Tiksi,RU,2022-09-21 17:12:51,71.6872,128.8694,33.22,99,100,16.37
6,Ushuaia,AR,2022-09-21 17:11:17,-54.8,-68.3,47.86,57,75,12.66
7,Arraial Do Cabo,BR,2022-09-21 17:12:52,-22.9661,-42.0278,73.26,78,0,11.5
8,Bluff,NZ,2022-09-21 17:12:52,-46.6,168.3333,44.6,86,44,6.35
9,Hualmay,PE,2022-09-21 17:12:53,-11.0964,-77.6139,66.16,71,61,12.77
10,Adrar,MR,2022-09-21 17:12:53,20.5022,-10.0711,99.55,24,28,17.43
11,Chokurdakh,RU,2022-09-21 17:12:54,70.6333,147.9167,32.97,99,100,10.0
12,Cape Town,ZA,2022-09-21 17:08:20,-33.9258,18.4232,68.09,43,0,13.8
13,Bredasdorp,ZA,2022-09-21 17:12:54,-34.5322,20.0403,56.34,81,44,5.03
14,Vestmannaeyjar,IS,2022-09-21 17:12:55,63.4427,-20.2734,52.79,93,75,11.5
15,Nikolskoye,RU,2022-09-21 17:12:55,59.7035,30.7861,49.91,94,85,4.92
16,Geraldton,AU,2022-09-21 17:12:56,-28.7667,114.6,54.01,87,75,1.14
17,Saeby,DK,2022-09-21 17:12:56,57.3319,10.5225,55.96,71,99,6.89
18,Boa Vista,BR,2022-09-21 17:12:57,2.8197,-60.6733,87.78,55,20,5.75
19,Vanavara,RU,2022-09-21 17:12:57,60.34,102.2797,32.9,85,100,3.4
20,Riyadh,SA,2022-09-21 17:10:59,24.6877,46.7219,93.34,21,0,7.85
21,Vila Velha,BR,2022-09-21 17:12:42,-20.3297,-40.2925,84.15,76,20,13.8
22,Nhulunbuy,AU,2022-09-21 17:12:58,-12.2333,136.7667,74.01,88,6,1.14
23,Kenai,US,2022-09-21 17:12:58,60.5544,-151.2583,41.09,93,20,0.0
24,Beloha,MG,2022-09-21 17:12:58,-25.1667,45.05,74.37,57,0,10.45
25,Jamestown,US,2022-09-21 17:12:59,42.097,-79.2353,78.51,54,0,10.36
26,Punta Arenas,CL,2022-09-21 17:13:00,-53.15,-70.9167,53.62,50,0,17.27
27,Santa Cruz,BO,2022-09-21 17:13:00,-17.8,-63.1667,83.66,58,40,2.3
28,Vaini,TO,2022-09-21 17:13:00,-21.2,-175.2,75.36,83,75,10.36
29,Mataura,NZ,2022-09-21 17:13:01,-46.1927,168.8643,38.16,99,19,1.83
30,Payson,US,2022-09-21 17:13:01,40.0444,-111.7321,78.28,45,0,9.22
31,Saskylakh,RU,2022-09-21 17:13:02,71.9167,114.0833,17.76,94,23,6.24
32,Tirat Karmel,IL,2022-09-21 17:13:02,32.7617,34.9719,80.15,58,40,6.91
33,Rikitea,PF,2022-09-21 17:13:03,-23.1203,-134.9692,72.81,73,4,15.21
34,Praya,CV,2022-09-21 17:13:04,14.9215,-23.5087,84.74,61,20,17.27
35,Hobart,AU,2022-09-21 17:13:04,-42.8794,147.3294,55.06,88,100,2.3
36,Busselton,AU,2022-09-21 17:13:05,-33.65,115.3333,47.32,68,61,7.11
37,Dalvik,IS,2022-09-21 17:13:06,65.9702,-18.5286,55.33,82,71,6.73
38,Hilo,US,2022-09-21 17:13:06,19.7297,-155.09,74.62,77,75,3.44
39,Togur,RU,2022-09-21 17:13:07,58.3631,82.8265,60.96,76,100,10.07
40,Kieta,PG,2022-09-21 17:13:07,-6.2167,155.6333,75.83,83,100,1.86
41,Irati,BR,2022-09-21 17:13:08,-25.4672,-50.6511,60.48,99,100,2.86
42,Cabo San Lucas,MX,2022-09-21 17:08:36,22.8909,-109.9124,87.62,78,20,10.36
43,Bitung,ID,2022-09-21 17:13:10,1.4451,125.1824,76.05,82,96,2.39
44,Nueva Gerona,CU,2022-09-21 17:13:10,21.8833,-82.8,86.18,60,0,7.34
45,Kapaa,US,2022-09-21 17:14:11,22.0752,-159.319,79.12,87,40,9.22
46,Bontang,ID,2022-09-21 17:14:11,0.1333,117.5,75.36,86,98,3.65
47,Losevo,RU,2022-09-21 17:14:12,50.6767,40.045,60.01,67,46,2.62
48,Krasnoarmeyskiy,RU,2022-09-21 17:14:12,47.0114,42.2072,63.82,76,100,11.7
49,Albany,US,2022-09-21 17:12:19,42.6001,-73.9662,74.23,68,3,2.46
50,Makaha,US,2022-09-21 17:14:13,21.4694,-158.2175,78.71,77,0,3.44
51,Yellowknife,CA,2022-09-21 17:12:03,62.456,-114.3525,54.12,76,75,18.41
52,Tuktoyaktuk,CA,2022-09-21 17:14:13,69.4541,-133.0374,41.0,93,100,17.27
53,Atuona,PF,2022-09-21 17:14:14,-9.8,-139.0333,76.35,81,47,21.12
54,Wamba,NG,2022-09-21 17:14:14,8.9333,8.6,77.04,84,92,2.48
55,Richards Bay,ZA,2022-09-21 17:14:15,-28.783,32.0377,61.65,83,100,6.29
56,Sitka,US,2022-09-21 17:14:15,57.0531,-135.33,57.09,88,75,0.0
57,Bandarbeyla,SO,2022-09-21 17:14:16,9.4942,50.8122,78.31,86,52,22.62
58,Atar,MR,2022-09-21 17:14:16,20.5169,-13.0499,103.42,19,32,19.15
59,Tekkali,IN,2022-09-21 17:14:17,18.6167,84.2333,80.28,88,88,4.9
60,Khatanga,RU,2022-09-21 17:09:48,71.9667,102.5,21.61,83,42,13.78
61,Hithadhoo,MV,2022-09-21 17:14:17,-0.6,73.0833,81.64,71,3,3.18
62,Alofi,NU,2022-09-21 17:14:18,-19.0595,-169.9187,73.29,88,96,6.91
63,Martapura,ID,2022-09-21 17:14:18,-3.4167,114.85,75.29,100,75,3.44
64,Belyy Yar,RU,2022-09-21 17:14:19,53.6039,91.3903,44.85,88,32,2.24
65,Rocha,UY,2022-09-21 17:12:26,-34.4833,-54.3333,58.05,49,84,10.45
66,Phuket,TH,2022-09-21 17:10:24,8.0,98.25,86.13,87,40,0.0
67,Aklavik,CA,2022-09-21 17:14:20,68.2191,-135.0107,40.1,86,100,3.98
68,Mount Isa,AU,2022-09-21 17:14:20,-20.7333,139.5,67.77,42,18,6.91
69,Cruzilia,BR,2022-09-21 17:14:21,-21.8386,-44.8083,82.26,38,53,6.2
70,Pevek,RU,2022-09-21 17:14:21,69.7008,170.3133,35.11,75,58,12.03
71,Puerto Ayora,EC,2022-09-21 17:14:22,-0.7393,-90.3518,76.96,88,100,11.99
72,Ozu,JP,2022-09-21 17:14:22,33.5,132.55,67.82,86,84,3.96
73,Leningradskiy,RU,2022-09-21 17:09:50,69.3833,178.4167,30.38,91,39,11.97
74,Victoria,HK,2022-09-21 17:13:16,22.2855,114.1577,84.33,73,94,11.99
75,Chuy,UY,2022-09-21 17:14:24,-33.6971,-53.4616,57.31,60,99,11.01
76,Acapulco,MX,2022-09-21 17:14:25,16.8634,-99.8901,85.82,70,40,4.61
77,Kamuli,UG,2022-09-21 17:14:25,0.9472,33.1197,64.31,97,85,2.91
78,Westport,US,2022-09-21 17:14:26,41.1415,-73.3579,78.19,63,0,9.22
79,Kawalu,ID,2022-09-21 17:14:27,-7.3817,108.2082,72.59,97,100,1.28
80,Katsuura,JP,2022-09-21 17:14:28,35.1333,140.3,69.04,70,100,21.3
81,Jaen,ES,2022-09-21 17:14:29,38.0,-3.5,82.26,34,54,9.57
82,Qaanaaq,GL,2022-09-21 17:14:29,77.484,-69.3632,30.81,78,99,7.7
83,Klaksvik,FO,2022-09-21 17:14:30,62.2266,-6.589,54.52,96,100,23.42
84,Polyarnyy,RU,2022-09-21 17:14:30,69.1989,33.4478,42.69,73,100,17.11
85,Tessalit,ML,2022-09-21 17:14:31,20.1986,1.0114,101.79,14,15,2.91
86,Sao Filipe,CV,2022-09-21 17:14:31,14.8961,-24.4956,78.94,76,22,12.01
87,Barrow,US,2022-09-21 17:15:32,71.2906,-156.7887,35.62,100,100,9.22
88,Mahebourg,MU,2022-09-21 17:15:32,-20.4081,57.7,72.25,88,40,11.5
89,Xinyu,CN,2022-09-21 17:15:33,27.8043,114.9334,67.41,54,95,3.62
90,Mitsamiouli,KM,2022-09-21 17:15:34,-11.3847,43.2844,75.09,77,76,1.63
91,Kruisfontein,ZA,2022-09-21 17:15:34,-34.0033,24.7314,61.88,67,62,7.09
92,Cherskiy,RU,2022-09-21 17:15:35,68.75,161.3,36.7,63,86,8.68
93,Norman Wells,CA,2022-09-21 17:15:35,65.282,-126.8329,50.04,76,75,6.91
94,Arlit,NE,2022-09-21 17:15:36,18.7369,7.3853,98.87,21,85,2.57
95,Keetmanshoop,NA,2022-09-21 17:15:37,-26.5833,18.1333,69.96,10,80,6.91
96,High Level,CA,2022-09-21 17:15:38,58.5169,-117.136,48.31,81,75,10.36
97,Cidreira,BR,2022-09-21 17:15:38,-30.1811,-50.2056,64.11,79,83,10.65
98,Nikolsk,RU,2022-09-21 17:15:39,53.7189,46.0712,60.15,86,100,6.78
99,Luancheng,CN,2022-09-21 17:15:39,37.8792,114.6517,64.56,50,10,7.45
